query,published_utc,title,publisher,url
iOS 27,2026-09-16 14:14:00+00:00,"iOS 27 adds scam-prevention feature to iPhone, here’s how to enable it - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMiogFBVV95cUxOSnFWMlZ3dk5SWWMwRmhVd1hoWmdQZkh4R1VIaHBvalMwclpYUjAwZ0dQNDJfZmR6aERPMWdlTUxjN3dILUVLcEVaYmlkX0xXZnhXUzBmQlZ4TWJDX1R1RnhMSV9BR2hDYVA5OFVPQ3dxTzNJRHRJSjRZZl9HSS1zcXExQXBzd19SeEI4TV8xN0RvRXZuWWdMTjlZbTRodnk5M1E?oc=5
iOS 27,2026-09-16 14:31:53+00:00,iOS 27: Use Visual Intelligence in the Camera App - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMifEFVX3lxTE1CTG5OMVdFclFkREhNTDhIMmxMdTNQSWxGLW1DYzJ0d3h2Um9neEw0dUlNMzlPanZOSEs1NE5RM19hUmtld0p4WlRIcFIyY1ZJMUMtX0dXTEVHZ3ViQ0hYSFhYR0VJalk1YlZaSE55S3JBNlNvYlppNThJVy0?oc=5
macOS 27,2026-09-16 14:50:06+00:00,macOS 27 Golden Gate: The Ars Technica review - Ars Technica,Ars Technica,https://news.google.com/rss/articles/CBMijgFBVV95cUxNSmw5ZUF3NWE0dS1yaDJNLS1GdDdLZmpvaGRETUxzSHd5a2JreFJQNjdsd05YbG9yWUttWGNoaHlJbTdfNGtrcXhUNWc5aVBMbkdMekg5Rjd1MUxkVUxBUml3WnhvRXNtMFd6ZDVQYW5qbm95c01MRXk3b0dQOTExZFctTGFxTUREYVJZUjhn?oc=5
Apple Intelligence,2026-09-16 14:53:46+00:00,"Apple outlines steep AI usage costs, and it’s probably going to get worse - macworld.com",macworld.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPWDl1T3JvSVZSeEowX3dSZFR5ZEpEOGxJUkd0dklaZ3c0QlItSjA4YTg1MnpNUGZjaTVjNjFOY1ZXdW0xckREdlktNUstdHB6QWJDSllDVHNUNVJHaUhHOURDaktTYnpLd2p3YXQzQXI5d0hvNVZLbmIxYUdRd0hLNlI0YzJ5VHB6MDRQel9UdzdSWmtOVzBIQlZBbFJLREw0OFF2SEFiRS0yVGpzSE5pSkFVZ1ZWRTRh?oc=5
iPadOS 27,2026-09-16 16:04:09+00:00,7 New iOS 27 Features You’ll Want to Try Out - osxdaily.com,osxdaily.com,https://news.google.com/rss/articles/CBMiggFBVV95cUxObk1QY2U5QXJEYjlJYUhCQ3ByMFhoN1gtVGhUUWc5dm1VYTBpdllWbXFELW94YU5aVzFTS1JSaHdkakVqS2hxc1hNMng1TG1tZjJqSUQ1Znl5OUpEa0VkMFBpNUI1ekdtUDN3V1VUQkt2b2poc2VtOVFkV1lzZElNTjl3?oc=5
iOS 27,2026-09-16 16:09:00+00:00,Apple Weather adds two convenient new features in iOS 27 - 9to5Mac,9to5Mac,https://news.google.com/rss/articles/CBMikgFBVV95cUxNeUVWeTNHM3FuNUhtVkVXc3BsbzEwaUFWYld2VDB6STZJWlZpaW5mTVd4bnY2UDNFTWNoZDk2R2FCSWQ1dXBhMnlGU3huWUJQRDV4T3FyZ1RmWElTZ3J1VVJyQkxGLWFtcUg1bHd5V0NrcnFWUDZTMG9NbFBWWG5mWFFkdnNHbzhLQnFMcjhIaGFNQQ?oc=5
macOS 27,2026-09-16 16:50:23+00:00,macOS 27 Golden Gate closes the door on Intel Macs - The Apple Post,The Apple Post,https://news.google.com/rss/articles/CBMingFBVV95cUxNMzNnRElId3Z3YlNqdllhblAtR19fM1F2bUVKcWlKelJDNXRab09DaTFicS1xUjlXXzh1M05EemU1QzB6U29FczdFeHZjX010b0RMaTNDa2kydGhrcVRuX1BGRmtQN3Q2bjJoYTlzdmF3TzNiVU5RTEZMS2FfdmlyaVgySi1PZXh4Z2R4MEJhVkNiVmVoS1RXZVRVSDdiUdIBowFBVV95cUxPQ0c0OW84SlZJcXdVOFVKMmlnS255QlpCOG9ERUNKVE95emU2NWlGTWNoUS1fYm94ZVNpdWJHRjAxX1RxMU9TRERCRmNDdUhGel9ndUFYaEpFX29TdFRPM0E3M3Vzc0tDc3FyTGRLR1JrTHZhS2pGWTFCUWhpakJ4YzE5czcwQnJZNFJCbnlxNGV4SUtuOERCbFRDeTZseXd5REdB?oc=5
Android 17,2026-09-16 17:00:53+00:00,Google's Latest Pixel Drop Could Help You Break Your Doomscrolling Habit - extremetech.com,extremetech.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQNGUtMWtBbHdIOEZqUGtsdHJiNDk2S0JmYnJnSkxkdXM4LWJnVzMwZHN1QUdqTTVaZC1nSnZUMXdqbmtCOFFRTVNjY2hKZTl0MENCUERyelVqb0tESEtaN055VjFrNmlodnBNNC1McTlQYUczSWJRbU9qNFhhRGFyaldrMTdUamhISTdKdVhCSVdta0ZvZ0dNOE1vY3lYanI3WW9jcEx5cFB3QQ?oc=5
iPadOS 27,2026-09-16 17:13:00+00:00,iPadOS 27.2 beta 1 now available for iPad - 9to5Mac,9to5Mac,https://news.google.com/rss/articles/CBMifkFVX3lxTE95SUZNSk5NRFRSSmN2MlBXUWQ1dGIyVW8tOXgzSGVZaV90UG1kTXRYMzFreFh5eG41eU1oUlhadmF3ZW1DYWhxOUVpaWFfUW8yWkNONkxVeEdGcEZQNmlLWEozZXZMUG01OU5BUGJKV0YwTGJjeGgtQ0R0QVBRUQ?oc=5
macOS 27,2026-09-16 17:13:00+00:00,"macOS 27.2 beta 1 now available to developers, here’s what’s new - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMimAFBVV95cUxNVEpzU01pUV91MExZMUlRRkpPSWctbGVzSmdndWhuMUZDbUpjRTgxVkpUSk1yakxKT1lCLXd2eG1jUFJNU0RrNW4ySkRjaC1TTzBqVEhlUFVzcjR2WDVUcE9xeGVJbU42NktKd1BWa19UcU1PQXc1Q3JXNWxqUGVPQlA4N3ltd3FtS1NJbnlQWXdfOEs3M3dLeA?oc=5
iOS 27,2026-09-16 17:14:12+00:00,Apple Releases First iOS 27.2 Beta - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMifEFVX3lxTE1DZUhPY2hFU3gwek50MDJnQUN0NHNFTmlGSkgxcDd0SmN4cFpSMFIxLXBmY0NFMGJrcV82eXNaTG1PbGJUN3FpNWowTEVkRG5FaEo4TkQ1WTZhTEh4UVc5di1VUVlMMnMyb1RwMkFVcC00bnVoUWlITnZJcTI?oc=5
macOS 27,2026-09-16 17:15:52+00:00,Apple Seeds First macOS Golden Gate 27.2 Beta to Developers - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMiekFVX3lxTE9jWnhMTFoxb2JLOUFmZms1Ykg0VXBxRjlBMUdrMUNob3hTeEdkXzJjUGEyaUZfamVNeXo0Vm56TThRZEFnNTdRTGpPOS1MbjJxYWRsTzNvZzhtN29aeEhTNDFsaFc2Ynk3ZnZHVFRKTTNzSjd6WnctbzRR?oc=5
Apple Intelligence,2026-09-16 17:32:24+00:00,iOS 27.2 Beta Previews New Apple Intelligence Health App - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMib0FVX3lxTE1YQk9LNllYT1l0dmlrZEdDY0hzQkYwam9KVlVtUTFqR3VPbXVMMWRWazBnYnU5bTJBemt2VnZ3aVRXU1NWaW5hRjM0QkVmMkRDeDlacVgxNjVYRWM3U0JSemlQU3hUckR1c2pNRXl3WQ?oc=5
Apple Intelligence,2026-09-16 17:34:00+00:00,"iOS 27.2 introduces Apple Health app overhaul, here’s what’s new - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMimAFBVV95cUxQeXdiRHBtMlpIc2FFOVhiVmFleWl3S3ZnNjRjVHJ4TG9ocDBtN1FabHh1TFBGWmtwSElRSVpIR2hIQmxJNV9XUDRYUEFvQnVRSTZmbTVQQ25ld1JhX0VxVF9uTTMwNFJPT2ZCaG9CUXJSS1pKM3lZUWI1eDBCWHoyaGpEeE9qU1NfMV82RUJMQ01lUUJ1VzEyNA?oc=5
iPadOS 27,2026-09-16 17:34:01+00:00,"Apple releases first developer betas of macOS 27.2, iOS 27.2, iPadOS 27.2, watchOS 27.2, visionOS 27.2, and tvOS 27.2 - MacTech.com",MacTech.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQdEs4cS01WmN4N3pzNzJfdzhCNzlmUHZTSUlaSHM1d3FQUUVIUzNjTEJMZnB0UG1GQk9xb015NURYS3Zxd2IzclV3WnFyckY2LXk0UUtmbFdSNEtwRXdfNHlCYmRKZFRIbVV3cDdIclV3ZGZLdFVQbzNPVEZuOU5mOHoyYzhfcVBpS2ZSMUo2Y0kzZklnc3VQWG1rdmFiSXRBQmxVUnJBNzgwNWlvWDJIdDR5dXZNMW9hSHhEVWpSc0lIUWF3ZDJhSWlqazRFWFJMaDE1OEd1cVh4RFpYdEIzQnFn?oc=5
iPadOS 27,2026-09-16 17:44:26+00:00,"First developer betas of iOS 27.2, macOS 27.2 are out for testing - AppleInsider",AppleInsider,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNWFIyeE1YZF9BdVZNUnZEaHlsd2VER29VN0ZRUUxsY001bUdhN3NGTFdtMWhxcTZieXhZMnp3TEdXYmVuTlB0cmRXdHdIempJWEtmVVJ4OV9VY19kaW5VeWRPTUhvYTcwY0twZ1k2OFQwN1ZMMWtRb2ZtaHJMbkl1U013ZlZ0OTZXNS10ZjJ6ZkdjV0w4S2NxOUlMSjZzVnJqSkJ5SkJRWUw?oc=5
iOS 27,2026-09-16 17:53:09+00:00,Here's Why Apple Just Released an iOS 27.2 Beta Instead of iOS 27.1 - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMiggFBVV95cUxPaHRLM1pZVjNDODZUcFEzVzdXNnNLR0dLSlFzVjBoakZrQS1xalhHa2ZMTV9zcmg2bUZQa2xwM3BCZVdWM3RPZ1dDdHhjcFJBZ25MYTBKN1lpRHl4azRPeWo4WHA4eUZXWC02Q0FFSkNjVko4a1lUUDN4WHZpZ3ZkUk5n?oc=5
